title,year,rating,rank,genres,plot,directors,actors,release_date,running_time_secs,image_url
5 Days of War,2010,5.5,4483,"['Action', 'Drama', 'War']","A drama set centered around the war between Russia and Georgia, and focused on an American journalist, his cameraman, and a Georgian native who become caught in the crossfire.",['Renny Harlin'],"['Rupert Friend', 'Emmanuelle Chriqui', 'Richard Coyle']",2011-04-14,6780,http://ia.media-imdb.com/images/M/MV5BMTM2Nzg0NDg4NV5BMl5BanBnXkFtZTcwNTEyODQ4NQ@@._V1_SX400_.jpg
50 First Dates,2004,6.7,647,"['Comedy', 'Romance']","Henry Roth is a man afraid of commitment up until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams, until he discovers she has short-term memory loss and forgets him the very next day.",['Peter Segal'],"['Adam Sandler', 'Drew Barrymore', 'Rob Schneider']",2004-02-13,5940,http://ia.media-imdb.com/images/M/MV5BMjAwMzc4MDgxNF5BMl5BanBnXkFtZTYwNjUwMzE3._V1_SX400_.jpg
50/50,2011,7.8,379,"['Comedy', 'Drama']","Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis, and his subsequent struggle to beat the disease.",['Jonathan Levine'],"['Joseph Gordon-Levitt', 'Seth Rogen', 'Anna Kendrick']",2011-09-12,6000,http://ia.media-imdb.com/images/M/MV5BNjg3ODQyNTIyN15BMl5BanBnXkFtZTcwMjUzNzM5NQ@@._V1_SX400_.jpg
54,1998,5.6,3438,"['Drama', 'History']",Famous 70s NYC nightclub seen and told through the eyes of a young employee.,['Mark Christopher'],"['Ryan Phillippe', 'Salma Hayek', 'Sela Ward']",1998-08-28,5580,http://ia.media-imdb.com/images/M/MV5BMTY3NDI0NjUyOF5BMl5BanBnXkFtZTcwMzM0NDMzMQ@@._V1_SX400_.jpg
6 Bullets,2012,6.0,2980,"['Action', 'Crime', 'Thriller']",An ex-mercenary known for finding missing children is hired by a mixed martial arts fighter whose daughter has been kidnapped.,['Ernie Barbarash'],"['Jean-Claude Van Damme', 'Joe Flanigan', 'Anna-Louise Plowman']",2012-09-11,6900,http://ia.media-imdb.com/images/M/MV5BMjIxODAzNTIzN15BMl5BanBnXkFtZTcwNDE2ODg5Nw@@._V1_SX400_.jpg
7500,2013,6.4,3496,"['Action', 'Horror', 'Mystery', 'Thriller']",Passengers aboard a flight across the Pacific Ocean encounter a supernatural force.,['Takashi Shimizu'],"['Leslie Bibb', 'Ryan Kwanten', 'Amy Smart']",2013-10-01,0,http://ia.media-imdb.com/images/M/MV5BMjE0NTYxMTA2N15BMl5BanBnXkFtZTcwOTU5ODQzNw@@._V1_SX400_.jpg
8 Mile,2002,6.8,769,"['Drama', 'Music']","A young rapper, struggling with every aspect of his life, wants to make the most of what could be his final opportunity but his problems around gives him doubts.",['Curtis Hanson'],"['Eminem', 'Brittany Murphy', 'Kim Basinger']",2002-09-08,6600,http://ia.media-imdb.com/images/M/MV5BMTU2MTgyOTk3MF5BMl5BanBnXkFtZTYwOTg2NTI5._V1_SX400_.jpg
88 Minutes,2007,5.8,2266,"['Drama', 'Mystery', 'Thriller']","On the day that a serial killer that he helped put away is supposed to be executed, a noted forensic psychologist and college professor receives a call informing him that he has 88 minutes left to live.",['Jon Avnet'],"['Al Pacino', 'Alicia Witt', 'Ben McKenzie']",2007-02-14,6480,http://ia.media-imdb.com/images/M/MV5BMTgxOTg1NzgzMV5BMl5BanBnXkFtZTcwNTM3Mjc1MQ@@._V1_SX400_.jpg
8MM,1999,6.3,2449,"['Crime', 'Mystery', 'Thriller']","A private investigator is hired to discover if a ""snuff film"" is authentic or not.",['Joel Schumacher'],"['Nicolas Cage', 'Joaquin Phoenix', 'James Gandolfini']",1999-02-19,7380,http://ia.media-imdb.com/images/M/MV5BMTIyMjE0MzEzOF5BMl5BanBnXkFtZTYwMTQ4MDg4._V1_SX400_.jpg
8½,1963,8.1,4408,"['Drama', 'Fantasy']",A harried movie director retreats into his memories and fantasies.,['Federico Fellini'],"['Marcello Mastroianni', 'Anouk Aimée', 'Claudia Cardinale']",1963-02-14,8280,http://ia.media-imdb.com/images/M/MV5BMjg1NTg2MzQ2OV5BMl5BanBnXkFtZTcwMDE3Njk3OA@@._V1_SX400_.jpg
9,2009,7.0,1558,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Mystery', 'Sci-Fi', 'Thriller']",A rag doll that awakens in a post-apocalyptic future holds the key to humanity's salvation.,['Shane Acker'],"['Elijah Wood', 'Jennifer Connelly', 'Crispin Glover']",2009-08-19,4740,http://ia.media-imdb.com/images/M/MV5BMTY2ODE1MTgxMV5BMl5BanBnXkFtZTcwNTM1NTM2Mg@@._V1_SX400_.jpg
9 Songs,2004,4.8,2418,"['Drama', 'Music', 'Romance']","In London, England, love blooms between an American college student, named Lisa, and a British glaciologist, named Matt, where over the next few months in between attending rock concerts, the two lovers have intense sexual encounters.",['Michael Winterbottom'],"[""Kieran O'Brien"", 'Margo Stilley', 'Huw Bunford']",2004-05-16,4260,http://ia.media-imdb.com/images/M/MV5BMTM3ODc4MTI2OV5BMl5BanBnXkFtZTcwMTA4NjUzMQ@@._V1_SX400_.jpg
9 to 5: Days in Porn,2008,6.5,3994,['Documentary'],,['Jens Hoffmann'],"['Otto Bauer', 'Audrey Hollander', 'Belladonna']",2008-08-24,6780,http://ia.media-imdb.com/images/M/MV5BMjIxNjExNTI5OF5BMl5BanBnXkFtZTcwOTIxNDYwMg@@._V1_SX400_.jpg
A Beautiful Mind,2001,8.1,449,"['Biography', 'Drama']","After a brilliant but asocial mathematician accepts secret work in cryptography, his life takes a turn to the nightmarish.",['Ron Howard'],"['Russell Crowe', 'Ed Harris', 'Jennifer Connelly']",2001-12-13,8100,http://ia.media-imdb.com/images/M/MV5BMTQ4MDI2MzkwMl5BMl5BanBnXkFtZTYwMjk0NTA5._V1_SX400_.jpg
A Belfast Story,2013,6.5,1181,['Drama'],,['Nathan Todd'],"['Colm Meaney', 'Malcolm Sinclair', ""Tommy O'Neill""]",2013-09-20,5940,http://ia.media-imdb.com/images/M/MV5BMTY1ODcwOTczN15BMl5BanBnXkFtZTgwOTAzMDEwMDE@._V1_SX400_.jpg
A Better Life,2011,7.1,3952,['Drama'],A gardener in East L.A. struggles to keep his son away from gangs and immigration agents while trying to give his son the opportunities he never had.,['Chris Weitz'],"['Demian Bichir', 'José Julián', ""Eddie 'Piolin' Sotelo""]",2011-06-24,5880,http://ia.media-imdb.com/images/M/MV5BMTUyODMxODYwMV5BMl5BanBnXkFtZTcwMTg4MTU1NA@@._V1_SX400_.jpg
A Boy and His Dog,1975,6.5,2721,"['Comedy', 'Drama', 'Sci-Fi', 'Thriller']",,['L.Q. Jones'],"['Don Johnson', 'Jason Robards', 'Susanne Benton']",1975-03-01,5460,http://ia.media-imdb.com/images/M/MV5BMTkwMzU4NzMzN15BMl5BanBnXkFtZTcwNTQwMzQyMQ@@._V1_SX400_.jpg
A Bridge Too Far,1977,7.3,3639,"['Drama', 'History', 'War']","An historic telling of the failed attempt to capture several bridges on a road to Germany in World War II, in a campaign called Operation Market-Garden.",['Richard Attenborough'],"['Sean Connery', ""Ryan O'Neal"", 'Michael Caine']",1977-06-15,10500,http://ia.media-imdb.com/images/M/MV5BMTczNjg0MzQyM15BMl5BanBnXkFtZTcwMjY0NjAzNA@@._V1_SX400_.jpg
A Bronx Tale,1993,7.6,667,"['Crime', 'Drama']",A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.,['Robert De Niro'],"['Robert De Niro', 'Chazz Palminteri', 'Lillo Brancato']",1993-09-14,7260,http://ia.media-imdb.com/images/M/MV5BMTk5MTk3NDM4Ml5BMl5BanBnXkFtZTYwMDEyMjk4._V1_SX400_.jpg
A Bug's Life,1998,7.2,1230,"['Animation', 'Adventure', 'Comedy', 'Family']","A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.","['John Lasseter', 'Andrew Stanton']","['Kevin Spacey', 'Dave Foley', 'Julia Louis-Dreyfus']",1998-11-14,5700,http://ia.media-imdb.com/images/M/MV5BMTI5NTc1NjU2NF5BMl5BanBnXkFtZTcwNzkyNDAyMQ@@._V1_SX400_.jpg
A Case of You,2013,5.4,2383,"['Comedy', 'Romance']","A young writer tries to impress a girl he meets online with an embellished profile, but he finds himself in a real mess when she falls for him and he has to keep up the act.",['Kat Coiro'],"['Peter Dinklage', 'Sienna Miller', 'Evan Rachel Wood']",2013-04-21,0,http://ia.media-imdb.com/images/M/MV5BMjI2NzI0OTgwM15BMl5BanBnXkFtZTcwMjg4OTAzOQ@@._V1_SX400_.jpg
A Christmas Carol,2009,6.7,3257,"['Animation', 'Comedy', 'Drama', 'Family', 'Fantasy']","An animated retelling of Charles Dickens' classic novel about a Victorian-era miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions.",['Robert Zemeckis'],"['Jim Carrey', 'Gary Oldman', 'Colin Firth']",2009-11-03,5760,http://ia.media-imdb.com/images/M/MV5BMTM1MTI5ODU4MV5BMl5BanBnXkFtZTcwNTYyNTU4Mg@@._V1_SX400_.jpg
A Christmas Story,1983,8.0,2392,"['Comedy', 'Family']","Ralphie has to convince his parents, teachers, and Santa that a Red Ryder B.B. gun really is the perfect gift for the 1940s.",['Bob Clark'],"['Peter Billingsley', 'Melinda Dillon', 'Darren McGavin']",1983-11-18,5640,http://ia.media-imdb.com/images/M/MV5BMTI1NzY1NjkyMV5BMl5BanBnXkFtZTcwMjYxNjE0MQ@@._V1_SX400_.jpg
A Cinderella Story,2004,5.6,1175,"['Comedy', 'Family', 'Romance']","Routinely exploited by her wicked stepmother, the downtrodden Sam Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance.",['Mark Rosman'],"['Hilary Duff', 'Chad Michael Murray', 'Jennifer Coolidge']",2004-07-10,5700,http://ia.media-imdb.com/images/M/MV5BMTA1NDI0OTkwNDNeQTJeQWpwZ15BbWU3MDQ3Nzc1MjE@._V1_SX400_.jpg
A Clockwork Orange,1971,8.4,338,"['Crime', 'Drama', 'Sci-Fi']","In future Britain, charismatic delinquent Alex DeLarge is jailed and volunteers for an experimental aversion therapy developed by the government in an effort to solve society's crime problem... but not all goes to plan.",['Stanley Kubrick'],"['Malcolm McDowell', 'Patrick Magee', 'Michael Bates']",1971-12-19,8160,http://ia.media-imdb.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_SX400_.jpg
A Dangerous Method,2011,6.4,1361,"['Biography', 'Drama', 'Thriller']",A look at how the intense relationship between Carl Jung and Sigmund Freud gives birth to psychoanalysis.,['David Cronenberg'],"['Michael Fassbender', 'Keira Knightley', 'Viggo Mortensen']",2011-09-02,5940,http://ia.media-imdb.com/images/M/MV5BMTU5Mjk3NjgxMl5BMl5BanBnXkFtZTcwMDM5MjA5Ng@@._V1_SX400_.jpg
A Fantastic Fear of Everything,2012,5.5,4470,['Comedy'],,"['Crispian Mills', 'Chris Hopewell']","['Simon Pegg', 'Alan Drake', 'Kiran Shah']",2012-06-08,6000,http://ia.media-imdb.com/images/M/MV5BMTM0MjQ5OTc1Nl5BMl5BanBnXkFtZTcwMzY3NjU3Nw@@._V1_SX400_.jpg
A Few Best Men,2011,5.7,4108,['Comedy'],A groom and his three best men travel to the Australian outback for a wedding.,['Stephan Elliott'],"['Laura Brent', 'Xavier Samuel', 'Kris Marshall']",2011-10-14,5820,http://ia.media-imdb.com/images/M/MV5BMTc1MzgyMjM0OF5BMl5BanBnXkFtZTcwMzA5MTU4Nw@@._V1_SX400_.jpg
A Few Good Men,1992,7.6,1327,"['Crime', 'Drama', 'Mystery', 'Thriller']",Neo military lawyer Kaffee defends Marines accused of murder; they contend they were acting under orders.,['Rob Reiner'],"['Tom Cruise', 'Jack Nicholson', 'Demi Moore']",1992-12-09,8280,http://ia.media-imdb.com/images/M/MV5BMTkzNzE3Njg4Ml5BMl5BanBnXkFtZTYwMjA4NzM5._V1_SX400_.jpg
A Field in England,2013,6.0,3203,"['Drama', 'History', 'Thriller']",,['Ben Wheatley'],"['Michael Smiley', 'Julian Barratt', 'Reece Shearsmith']",2013-07-04,5400,http://ia.media-imdb.com/images/M/MV5BMzI4MTczODQ2NV5BMl5BanBnXkFtZTcwNzg3Nzk3OQ@@._V1_SX400_.jpg
A Fish Called Wanda,1988,7.6,3052,"['Comedy', 'Crime']","In London, four very different people team up to commit armed robbery, then try to doublecross each other for the loot.","['Charles Crichton', 'John Cleese']","['John Cleese', 'Jamie Lee Curtis', 'Kevin Kline']",1988-07-07,6480,http://ia.media-imdb.com/images/M/MV5BMjE5OTIzODI4Nl5BMl5BanBnXkFtZTcwNDg3NzYzNA@@._V1_SX400_.jpg
A Glimpse Inside the Mind of Charles Swan III,2012,4.7,2867,['Comedy'],A graphic designer's enviable life slides into despair when his girlfriend breaks up with him.,['Roman Coppola'],"['Charlie Sheen', 'Jason Schwartzman', 'Bill Murray']",2012-11-15,5160,http://ia.media-imdb.com/images/M/MV5BMTM5MjQ4NTkwNl5BMl5BanBnXkFtZTcwNjkxOTc5OA@@._V1_SX400_.jpg
A Good Day to Die Hard,2013,5.3,521,"['Action', 'Crime', 'Thriller']","John McClane travels to Russia to help out his seemingly wayward son, Jack, only to discover that Jack is a CIA operative working undercover, causing the father and son to team up against underworld forces.",['John Moore'],"['Bruce Willis', 'Jai Courtney', 'Sebastian Koch']",2013-02-07,5880,http://ia.media-imdb.com/images/M/MV5BMTcwNzgyNzUzOV5BMl5BanBnXkFtZTcwMzAwOTA5OA@@._V1_SX400_.jpg
A Good Old Fashioned Orgy,2011,6.1,2049,['Comedy'],A group of 30-year-olds who have been friends since high school attempt to throw an end-of-summer orgy.,"['Alex Gregory', 'Peter Huyck']","['Jason Sudeikis', 'Leslie Bibb', 'Tyler Labine']",2011-04-29,5700,http://ia.media-imdb.com/images/M/MV5BMzQwNzAxNjA1MF5BMl5BanBnXkFtZTcwNjI2MzcxNQ@@._V1_SX400_.jpg
A Good Year,2006,6.8,2170,"['Comedy', 'Drama', 'Romance']","A British investment broker inherits his uncle's chateau and vineyard in Provence, where he spent much of his childhood. He discovers a new laid-back lifestyle as he tries to renovate the estate to be sold.",['Ridley Scott'],"['Russell Crowe', 'Abbie Cornish', 'Albert Finney']",2006-09-09,7020,http://ia.media-imdb.com/images/M/MV5BODE4NDY3MjUxNV5BMl5BanBnXkFtZTYwMTMwODI3._V1_SX400_.jpg
A Goofy Movie,1995,6.6,3876,"['Animation', 'Adventure', 'Comedy', 'Family', 'Musical', 'Romance']","When Max makes an preposterous promise to his girlfriend, his chances to fulfilling it seem hopeless when he is dragged onto a cross-country trip with his embarrassing father, Goofy.",['Kevin Lima'],"['Bill Farmer', 'Jason Marsden', 'Jim Cummings']",1995-04-07,4680,http://ia.media-imdb.com/images/M/MV5BMTI0MjgzMjQ5Nl5BMl5BanBnXkFtZTcwNjg1NjMyMQ@@._V1_SX400_.jpg
A Guide to Recognizing Your Saints,2006,6.9,4164,"['Crime', 'Drama']","The movie is a coming-of-age drama about a boy growing up in Astoria, N.Y., during the 1980s. As his friends end up dead, on drugs or in prison, he comes to believe he has been saved from their fate by various so-called saints.",['Dito Montiel'],"['Robert Downey Jr.', 'Rosario Dawson', 'Shia LaBeouf']",2006-01-01,6000,http://ia.media-imdb.com/images/M/MV5BNjk4MzIyMzUxMV5BMl5BanBnXkFtZTcwNTk4NTU0MQ@@._V1_SX400_.jpg
A Guy Thing,2003,5.5,3107,"['Comedy', 'Romance']",A soon-to-be husband wakes up on the morning after his bachelor party in bed with another woman.,['Chris Koch'],"['Jason Lee', 'Julia Stiles', 'Selma Blair']",2003-01-17,6060,http://ia.media-imdb.com/images/M/MV5BMTMxOTg3MDczMl5BMl5BanBnXkFtZTcwNzU5MTkzNA@@._V1_SX400_.jpg
A Haunted House,2013,4.8,812,"['Comedy', 'Horror']","Malcolm and Kisha move into their dream home, but soon learn a demon also resides there. When Kisha becomes possessed, Malcolm - determined to keep his sex life on track - turns to a priest, a psychic, and a team of ghost-busters for help.",['Michael Tiddes'],"['Marlon Wayans', 'Essence Atkins', 'Marlene Forte']",2013-01-11,5160,http://ia.media-imdb.com/images/M/MV5BMTM1ODgyOTI0NF5BMl5BanBnXkFtZTcwODgyMDY3OA@@._V1_SX400_.jpg
A History of Violence,2005,7.5,1473,"['Crime', 'Drama', 'Thriller']","A mild-mannered man becomes a local hero through an act of violence, which sets off repercussions that will shake his family to its very core.",['David Cronenberg'],"['Viggo Mortensen', 'Maria Bello', 'Ed Harris']",2005-05-16,5760,http://ia.media-imdb.com/images/M/MV5BMTczMzIzMTQ1OV5BMl5BanBnXkFtZTYwMDQwNjk2._V1_SX400_.jpg
A Kid in King Arthur's Court,1995,4.5,4540,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']",,['Michael Gottlieb'],"['Thomas Ian Nicholas', 'Joss Ackland', 'Art Malik']",1995-08-11,5340,http://ia.media-imdb.com/images/M/MV5BMTUyODY0Nzk2NF5BMl5BanBnXkFtZTcwNjQwMTMyMQ@@._V1_SX400_.jpg
A Knight's Tale,2001,6.7,585,"['Action', 'Adventure', 'Drama', 'Romance']","After his master dies, a peasant squire, fueled by his desire for food and glory, creates a new identity for himself as a knight.",['Brian Helgeland'],"['Heath Ledger', 'Mark Addy', 'Rufus Sewell']",2001-03-08,7920,http://ia.media-imdb.com/images/M/MV5BMTE5OTE4OTE2Nl5BMl5BanBnXkFtZTYwMDkzMTQ3._V1_SX400_.jpg
A Late Quartet,2012,6.9,2782,"['Drama', 'Music']","Members of a world-renowned string quartet struggle to stay together in the face of death, competing egos and insuppressible lust.",['Yaron Zilberman'],"['Philip Seymour Hoffman', 'Christopher Walken', 'Catherine Keener']",2012-09-10,6300,http://ia.media-imdb.com/images/M/MV5BMTM3MDc3MzIzNV5BMl5BanBnXkFtZTcwNjkwNTU0OA@@._V1_SX400_.jpg
A League of Their Own,1992,7.0,1792,"['Comedy', 'Drama', 'Sport']",Two sisters join the first female professional baseball league and struggle to help it succeed amidst their own growing rivalry.,['Penny Marshall'],"['Tom Hanks', 'Geena Davis', 'Lori Petty']",1992-07-01,7680,http://ia.media-imdb.com/images/M/MV5BMTM1NzQ1OTM3NF5BMl5BanBnXkFtZTcwMDAwMjUyMQ@@._V1_SX400_.jpg
A Little Bit of Heaven,2011,6.0,2376,"['Comedy', 'Drama', 'Fantasy', 'Romance']",An irreverent young woman who uses her humor to prevent matters from getting serious has a life-changing visit with her doctor.,['Nicole Kassell'],"['Kate Hudson', 'Gael García Bernal', 'Kathy Bates']",2011-02-04,6360,http://ia.media-imdb.com/images/M/MV5BNzY1MDkzMTc0NF5BMl5BanBnXkFtZTcwODc5NDU1Nw@@._V1_SX400_.jpg
A Little Princess,1995,7.5,2299,"['Drama', 'Family', 'Fantasy']",A young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead.,['Alfonso Cuarón'],"['Liesel Matthews', 'Eleanor Bron', 'Liam Cunningham']",1995-05-10,5820,http://ia.media-imdb.com/images/M/MV5BMTM0Nzg2NjM0MF5BMl5BanBnXkFtZTcwMzUzNzYxMQ@@._V1_SX400_.jpg
A Lonely Place to Die,2011,6.2,3694,"['Action', 'Adventure', 'Crime', 'Thriller']",A group of mountaineers in the Scottish Highlands discover a kidnapped girl and are pursued by her captors.,['Julian Gilbey'],"['Alec Newman', 'Ed Speleers', 'Melissa George']",2011-04-09,5940,http://ia.media-imdb.com/images/M/MV5BNTM5OTA2MTc2N15BMl5BanBnXkFtZTcwMjI3NDQyNg@@._V1_SX400_.jpg
A Long Way Down,2014,0.0,2208,"['Comedy', 'Drama']",Four people meet on New Year's Eve and form a surrogate family to help one another weather the difficulties of their lives.,['Pascal Chaumeil'],"['Aaron Paul', 'Rosamund Pike', 'Toni Collette']",2014-01-23,0,
A Lot Like Love,2005,6.4,1757,"['Comedy', 'Drama', 'Romance']",,['Nigel Cole'],"['Ashton Kutcher', 'Amanda Peet', 'Taryn Manning']",2005-04-21,6420,http://ia.media-imdb.com/images/M/MV5BMTQyMjU1MTYxNl5BMl5BanBnXkFtZTcwMjI2MjgyMQ@@._V1_SX400_.jpg
A Love Song for Bobby Long,2004,7.0,4414,['Drama'],A headstrong young woman returns to New Orleans after the death of her estranged mother.,['Shainee Gabel'],"['Scarlett Johansson', 'John Travolta', 'Gabriel Macht']",2004-09-02,7140,http://ia.media-imdb.com/images/M/MV5BMTQ5MjIxNzY0M15BMl5BanBnXkFtZTcwMzM0NDcyMQ@@._V1_SX400_.jpg
A Madea Christmas,2013,0.0,2374,['Comedy'],Madea dispenses her unique form of holiday spirit on rural town when she's coaxed into helping a friend pay her daughter a surprise visit in the country for Christmas.,['Tyler Perry'],"['Tyler Perry', 'Chad Michael Murray', 'Tika Sumpter']",2013-12-13,0,http://ia.media-imdb.com/images/M/MV5BMTYxMTE0NzMwOV5BMl5BanBnXkFtZTgwNDI1MzkxMDE@._V1_SX400_.jpg
A Man Apart,2003,5.9,1919,"['Action', 'Crime', 'Drama', 'Thriller']",A man known as Diablo emerges to head a drug cartel after the previous leader is imprisoned.,['F. Gary Gray'],"['Vin Diesel', 'Timothy Olyphant', 'Larenz Tate']",2003-04-04,6540,http://ia.media-imdb.com/images/M/MV5BMTk4NzEwNjk1N15BMl5BanBnXkFtZTYwNTEzNTk5._V1_SX400_.jpg
A Midsummer Night's Dream,1999,6.3,3092,"['Comedy', 'Fantasy', 'Romance']","Lovers lives are complicated by city law, feuding faerie royalty, and... love.",['Michael Hoffman'],"['Kevin Kline', 'Michelle Pfeiffer', 'Rupert Everett']",1999-04-26,6960,http://ia.media-imdb.com/images/M/MV5BMTIyMTU2NTc1N15BMl5BanBnXkFtZTcwNDY1MjgxMQ@@._V1_SX400_.jpg
A Mighty Heart,2007,6.6,4096,"['Biography', 'Drama', 'History', 'Thriller', 'War']","Mariane Pearl embarks on a frantic search to locate her journalist husband, Daniel, when he goes missing in Pakistan.",['Michael Winterbottom'],"['Angelina Jolie', 'Dan Futterman', 'Irrfan Khan']",2007-05-21,6480,http://ia.media-imdb.com/images/M/MV5BMTg4OTk0NDc3MV5BMl5BanBnXkFtZTcwOTU0ODc0MQ@@._V1_SX400_.jpg
A Million Ways to Die in the West,2014,0.0,2947,"['Comedy', 'Western']",A cowardly farmer seeks the help of a gunslinger's wife to help him win back the woman who left him.,['Seth MacFarlane'],"['Amanda Seyfried', 'Neil Patrick Harris', 'Charlize Theron']",2014-05-29,0,
